Model,Crop Pest Combination,R2,MAE,MSE,Count,Data_size
XGBRegressor,Varkorn_Kornets bladfläcksjuka,0.7772148252769921,3.1174934363556632,50.96053983762528,1,10041
FFNN,Varkorn_Kornets bladfläcksjuka,0.7825350550171456,2.8524142408048334,49.74357475026926,1,10041
SVR,Varkorn_Kornets bladfläcksjuka,0.7899204092359535,2.973956389466209,48.05422698127847,1,10041
HistGradientBoostingRegressor,Hostvete_Mjöldagg,0.8382623369713748,2.582018702052986,38.94234736772531,1,19595
DecisionTreeRegressor,Hostvete_Mjöldagg,0.6739233386271324,3.3660151298303007,78.51103062768351,1,19595
XGBRegressor,Hostvete_Mjöldagg,0.8235220077169113,2.70891507672661,42.49144663992369,1,19595
FFNN,Hostvete_Mjöldagg,0.820913137953037,2.76096385870282,43.11959663714462,1,19595
SVR,Hostvete_Mjöldagg,0.8289989261823284,2.7696706617843456,41.17274289837628,1,19595
HistGradientBoostingRegressor,Hostvete_Svartpricksjuka,0.8554753698086647,4.358172890183561,58.47330989596075,1,19595
DecisionTreeRegressor,Hostvete_Svartpricksjuka,0.7104326793277825,5.531714285714285,117.15622212624584,1,19595
XGBRegressor,Hostvete_Svartpricksjuka,0.8526882952076983,4.413008210284344,59.600934139867924,1,19595
FFNN,Hostvete_Svartpricksjuka,0.809605221924091,4.951196216978382,77.03194151935467,1,19595
SVR,Hostvete_Svartpricksjuka,0.8075460234914829,4.744694150610601,77.8650738922088,1,19595
HistGradientBoostingRegressor,Hostvete_Bladfläcksvampar,0.8267650674000693,5.675056596193601,87.98386817428162,1,19595
DecisionTreeRegressor,Hostvete_Bladfläcksvampar,0.6585940148751739,7.26329551262394,173.39585462537056,1,19595
XGBRegressor,Hostvete_Bladfläcksvampar,0.8217037892253114,5.688275411232662,90.55442842467674,1,19595
FFNN,Hostvete_Bladfläcksvampar,0.7868955833823545,6.249140088920955,108.23308334898506,1,19595
SVR,Hostvete_Bladfläcksvampar,0.7878908578044655,5.961892364538858,107.72759584575451,1,19595
